Date,Ticker,Company,Sector,Close_Price,Volume,MA_20,MA_50,Daily_Return_Pct,RSI,Volatility,Signal
2025-01-22,RELIANCE,Reliance Industries,Energy,2232.37,2063299,2361.66,N/A,-0.39,25.31,1.2274,NEUTRAL
2025-01-23,RELIANCE,Reliance Industries,Energy,2213.34,3969401,2344.28,N/A,-0.85,26.57,1.2277,NEUTRAL
2025-01-24,RELIANCE,Reliance Industries,Energy,2275.94,4275803,2330.85,N/A,2.83,36.42,1.4624,NEUTRAL
2025-01-27,RELIANCE,Reliance Industries,Energy,2276.62,1844027,2316.94,N/A,0.03,39.84,1.4518,NEUTRAL
2025-01-28,RELIANCE,Reliance Industries,Energy,2241.64,4666500,2304.87,N/A,-1.54,41.48,1.3732,NEUTRAL
2025-01-29,RELIANCE,Reliance Industries,Energy,2270.42,1291267,2297.4,N/A,1.28,37.13,1.34,NEUTRAL
2025-01-30,RELIANCE,Reliance Industries,Energy,2229.98,997562,2288.86,N/A,-1.78,33.47,1.3765,NEUTRAL
2025-01-31,RELIANCE,Reliance Industries,Energy,2238.08,4348693,2282.49,N/A,0.36,34.34,1.3595,NEUTRAL
2025-02-03,RELIANCE,Reliance Industries,Energy,2173.41,4537776,2272.28,N/A,-2.89,32.85,1.4651,NEUTRAL
2025-02-04,RELIANCE,Reliance Industries,Energy,2131.2,2504168,2261.51,N/A,-1.94,30.76,1.4914,NEUTRAL
2025-02-05,RELIANCE,Reliance Industries,Energy,2138.56,4510912,2253.53,N/A,0.35,31.19,1.4525,NEUTRAL
2025-02-06,RELIANCE,Reliance Industries,Energy,2163.32,2679996,2244.22,N/A,1.16,38.92,1.3678,NEUTRAL
2025-02-07,RELIANCE,Reliance Industries,Energy,2169.96,2100396,2235.57,N/A,0.31,37.73,1.3769,NEUTRAL
2025-02-10,RELIANCE,Reliance Industries,Energy,2167.28,3811149,2226.61,N/A,-0.12,39.51,1.3729,NEUTRAL
2025-02-11,RELIANCE,Reliance Industries,Energy,2158.57,622402,2219.66,N/A,-0.4,39.51,1.3133,NEUTRAL
2025-02-12,RELIANCE,Reliance Industries,Energy,2111.78,1666588,2211.26,N/A,-2.17,36.62,1.3753,NEUTRAL
2025-02-13,RELIANCE,Reliance Industries,Energy,2090.03,2996081,2201.52,N/A,-1.03,22.54,1.3754,NEUTRAL
2025-02-14,RELIANCE,Reliance Industries,Energy,2076.63,3177618,2193.02,N/A,-0.64,21.53,1.3452,NEUTRAL
2025-02-17,RELIANCE,Reliance Industries,Energy,2110.6,1075278,2185.54,N/A,1.64,31.29,1.4036,NEUTRAL
2025-02-18,RELIANCE,Reliance Industries,Energy,2122.53,1678049,2179.61,2319.67,0.57,27.82,1.4119,SELL
2025-02-19,RELIANCE,Reliance Industries,Energy,2067.46,3580201,2171.37,2313.02,-2.59,26.65,1.5051,SELL
2025-02-20,RELIANCE,Reliance Industries,Energy,2078.54,4062737,2164.63,2306.2,0.54,27.27,1.5139,SELL
2025-02-21,RELIANCE,Reliance Industries,Energy,2067.57,3964442,2154.21,2299.25,-0.53,32.2,1.3225,SELL
2025-02-24,RELIANCE,Reliance Industries,Energy,2047.61,1774732,2142.76,2291.4,-0.97,34.81,1.3215,SELL
2025-02-25,RELIANCE,Reliance Industries,Energy,2067.42,3814692,2134.05,2282.81,0.97,37.63,1.3385,SELL
2025-02-26,RELIANCE,Reliance Industries,Energy,2100.43,4693398,2125.55,2275.04,1.6,39.37,1.3613,SELL
2025-02-27,RELIANCE,Reliance Industries,Energy,2130.82,1610389,2120.59,2268.01,1.45,43.88,1.3777,SELL
2025-02-28,RELIANCE,Reliance Industries,Energy,2105.06,527712,2113.94,2259.28,-1.21,40.92,1.3879,SELL
2025-03-03,RELIANCE,Reliance Industries,Energy,2096.35,4571647,2110.09,2249.76,-0.41,40.92,1.2475,SELL
2025-03-04,RELIANCE,Reliance Industries,Energy,2107.81,4412942,2108.92,2240.8,0.55,49.35,1.1843,SELL
2025-03-05,RELIANCE,Reliance Industries,Energy,2139.71,612816,2108.97,2232.04,1.51,57.83,1.2322,SELL
2025-03-06,RELIANCE,Reliance Industries,Energy,2125.4,2135156,2107.08,2223.33,-0.67,57.66,1.2102,SELL
2025-03-07,RELIANCE,Reliance Industries,Energy,2120.54,635230,2104.61,2214.85,-0.23,51.72,1.207,SELL
2025-03-10,RELIANCE,Reliance Industries,Energy,2086.41,2266616,2100.56,2205.48,-1.61,44.2,1.253,SELL
2025-03-11,RELIANCE,Reliance Industries,Energy,2050.02,4963418,2095.14,2196.82,-1.74,47.02,1.3002,SELL
2025-03-12,RELIANCE,Reliance Industries,Energy,2076.03,1883194,2093.35,2189.94,1.27,49.59,1.2595,SELL
2025-03-13,RELIANCE,Reliance Industries,Energy,2119.3,3601360,2094.81,2184.31,2.08,57.61,1.3259,SELL
2025-03-14,RELIANCE,Reliance Industries,Energy,2118.07,2381548,2096.88,2179.37,-0.06,60.97,1.3156,SELL
2025-03-17,RELIANCE,Reliance Industries,Energy,2151.01,4845760,2098.9,2174.83,1.56,62.5,1.3108,SELL
2025-03-18,RELIANCE,Reliance Industries,Energy,2163.75,3751298,2100.97,2171.17,0.59,60.08,1.3112,SELL
2025-03-19,RELIANCE,Reliance Industries,Energy,2143.89,4965150,2104.79,2168.09,-0.92,52.15,1.1768,SELL
2025-03-20,RELIANCE,Reliance Industries,Energy,2156.58,500404,2108.69,2164.23,0.59,58.87,1.1777,SELL
2025-03-21,RELIANCE,Reliance Industries,Energy,2207.41,1823483,2115.68,2161.52,2.36,66.69,1.259,SELL
2025-03-24,RELIANCE,Reliance Industries,Energy,2207.33,2222320,2123.67,2158.74,-0.0,65.49,1.2243,SELL
2025-03-25,RELIANCE,Reliance Industries,Energy,2260.24,2832517,2133.31,2157.99,2.4,67.61,1.2998,SELL
2025-03-26,RELIANCE,Reliance Industries,Energy,2172.55,3696340,2136.91,2155.84,-3.88,55.67,1.5908,SELL
2025-03-27,RELIANCE,Reliance Industries,Energy,2200.42,663273,2140.39,2154.16,1.28,59.11,1.5841,SELL
2025-03-28,RELIANCE,Reliance Industries,Energy,2204.39,4354418,2145.36,2153.31,0.18,64.44,1.5504,SELL
2025-03-31,RELIANCE,Reliance Industries,Energy,2195.61,4152692,2150.32,2152.02,-0.4,69.11,1.5502,SELL
2025-04-01,RELIANCE,Reliance Industries,Energy,2199.73,1587341,2154.92,2151.19,0.19,67.23,1.5485,BUY
2025-04-02,RELIANCE,Reliance Industries,Energy,2135.25,4477266,2154.7,2149.25,-2.93,52.1,1.6682,BUY
2025-04-03,RELIANCE,Reliance Industries,Energy,2129.28,3531756,2154.89,2147.57,-0.28,51.46,1.6622,BUY
2025-04-04,RELIANCE,Reliance Industries,Energy,2141.75,1343523,2155.95,2144.89,0.59,48.73,1.6658,BUY
2025-04-07,RELIANCE,Reliance Industries,Energy,2190.3,1046237,2161.15,2143.16,2.27,53.32,1.6864,BUY
2025-04-08,RELIANCE,Reliance Industries,Energy,2174.37,4540479,2167.36,2141.82,-0.73,53.85,1.6379,BUY
2025-04-09,RELIANCE,Reliance Industries,Energy,2149.09,592193,2171.02,2139.39,-1.16,49.08,1.6528,BUY
2025-04-10,RELIANCE,Reliance Industries,Energy,2133.99,3681915,2171.75,2137.47,-0.7,40.16,1.6013,BUY
2025-04-11,RELIANCE,Reliance Industries,Energy,2164.36,1686887,2174.06,2135.99,1.42,44.68,1.63,BUY
2025-04-14,RELIANCE,Reliance Industries,Energy,2176.12,3508038,2175.32,2136.05,0.54,38.39,1.5983,BUY
2025-04-15,RELIANCE,Reliance Industries,Energy,2159.92,1008153,2175.13,2136.62,-0.74,47.83,1.6032,BUY
2025-04-16,RELIANCE,Reliance Industries,Energy,2177.63,3834817,2176.82,2137.4,0.82,45.94,1.5976,BUY
2025-04-17,RELIANCE,Reliance Industries,Energy,2181.89,4082069,2178.08,2137.78,0.2,46.0,1.5936,BUY
2025-04-18,RELIANCE,Reliance Industries,Energy,2214.68,3215514,2178.45,2138.67,1.5,53.13,1.5392,BUY
2025-04-21,RELIANCE,Reliance Industries,Energy,2192.46,3158571,2177.7,2139.17,-1.0,48.87,1.5564,BUY
2025-04-22,RELIANCE,Reliance Industries,Energy,2182.78,2179748,2173.83,2139.66,-0.44,58.86,1.4497,BUY
2025-04-23,RELIANCE,Reliance Industries,Energy,2171.03,2723069,2173.75,2140.84,-0.54,57.62,1.1631,BUY
2025-04-24,RELIANCE,Reliance Industries,Energy,2124.46,3945498,2169.95,2141.53,-2.15,47.19,1.2166,BUY
2025-04-25,RELIANCE,Reliance Industries,Energy,2134.96,981680,2166.48,2142.7,0.49,39.76,1.2232,BUY
2025-04-28,RELIANCE,Reliance Industries,Energy,2144.39,3136694,2163.92,2143.37,0.44,44.31,1.2287,BUY
2025-04-29,RELIANCE,Reliance Industries,Energy,2145.63,3461293,2161.22,2143.84,0.06,49.28,1.2274,BUY
2025-04-30,RELIANCE,Reliance Industries,Energy,2139.15,4600673,2161.41,2145.27,-0.3,51.12,1.0361,BUY
2025-05-01,RELIANCE,Reliance Industries,Energy,2094.8,2034026,2159.69,2145.6,-2.07,35.8,1.1354,BUY
2025-05-02,RELIANCE,Reliance Industries,Energy,2082.63,815826,2156.73,2145.9,-0.58,30.95,1.1295,BUY
2025-05-05,RELIANCE,Reliance Industries,Energy,2072.97,3967366,2150.87,2146.4,-0.46,31.8,0.9786,BUY
2025-05-06,RELIANCE,Reliance Industries,Energy,2049.06,827359,2144.6,2146.04,-1.15,23.76,0.9934,SELL
2025-05-07,RELIANCE,Reliance Industries,Energy,2045.13,4248603,2139.4,2144.93,-0.19,22.05,0.9722,SELL
2025-05-08,RELIANCE,Reliance Industries,Energy,2058.55,4701253,2135.63,2143.48,0.66,15.35,0.986,SELL
2025-05-09,RELIANCE,Reliance Industries,Energy,2117.82,3360337,2133.3,2143.74,2.88,35.78,1.1506,SELL
2025-05-12,RELIANCE,Reliance Industries,Energy,2124.42,817537,2130.72,2144.3,0.31,38.75,1.1449,SELL
2025-05-13,RELIANCE,Reliance Industries,Energy,2133.69,1050222,2129.41,2144.82,0.44,42.73,1.1413,SELL
2025-05-14,RELIANCE,Reliance Industries,Energy,2132.37,3073619,2127.14,2144.67,-0.06,51.87,1.1227,SELL
2025-05-15,RELIANCE,Reliance Industries,Energy,2072.06,2953752,2121.65,2143.61,-2.83,37.97,1.2745,SELL
2025-05-16,RELIANCE,Reliance Industries,Energy,2072.27,1864133,2114.53,2142.64,0.01,35.7,1.2087,SELL
2025-05-19,RELIANCE,Reliance Industries,Energy,2075.18,2432247,2108.67,2142.42,0.14,36.12,1.202,SELL
2025-05-20,RELIANCE,Reliance Industries,Energy,2152.89,1853038,2107.17,2144.47,3.74,52.11,1.4975,SELL
2025-05-21,RELIANCE,Reliance Industries,Energy,2147.75,750875,2106.01,2145.91,-0.24,59.26,1.4939,SELL
2025-05-22,RELIANCE,Reliance Industries,Energy,2158.54,4764694,2107.71,2146.69,0.5,63.34,1.4125,SELL
2025-05-23,RELIANCE,Reliance Industries,Energy,2158.5,1207689,2108.89,2147.5,-0.0,65.56,1.4094,SELL
2025-05-26,RELIANCE,Reliance Industries,Energy,2121.74,4947794,2107.76,2146.92,-1.7,62.63,1.4598,SELL
2025-05-27,RELIANCE,Reliance Industries,Energy,2159.17,2115952,2108.43,2146.82,1.76,67.75,1.5145,SELL
2025-05-28,RELIANCE,Reliance Industries,Energy,2184.6,1796516,2110.71,2147.64,1.18,68.92,1.5329,SELL
2025-05-29,RELIANCE,Reliance Industries,Energy,2211.61,3030179,2116.55,2148.74,1.24,65.58,1.4613,SELL
2025-05-30,RELIANCE,Reliance Industries,Energy,2182.55,2056617,2121.54,2148.24,-1.31,58.99,1.4928,SELL
2025-06-02,RELIANCE,Reliance Industries,Energy,2229.57,3963351,2129.37,2148.69,2.15,63.27,1.5411,SELL
2025-06-03,RELIANCE,Reliance Industries,Energy,2183.8,1765040,2136.11,2147.16,-2.05,56.34,1.6001,SELL
2025-06-04,RELIANCE,Reliance Industries,Energy,2204.12,2354971,2144.06,2147.79,0.93,68.06,1.6005,SELL
2025-06-05,RELIANCE,Reliance Industries,Energy,2277.64,1150199,2155.01,2149.33,3.34,73.4,1.7313,BUY
2025-06-06,RELIANCE,Reliance Industries,Energy,2244.94,4534628,2161.37,2150.14,-1.44,68.11,1.6906,BUY
2025-06-09,RELIANCE,Reliance Industries,Energy,2226.99,2349396,2166.5,2150.77,-0.8,59.06,1.7086,BUY
2025-06-10,RELIANCE,Reliance Industries,Energy,2231.43,3191276,2171.39,2151.41,0.2,60.25,1.708,BUY
2025-06-11,RELIANCE,Reliance Industries,Energy,2215.69,1128861,2175.55,2153.01,-0.71,56.92,1.7201,BUY
2025-06-12,RELIANCE,Reliance Industries,Energy,2165.26,3026954,2180.21,2153.73,-2.28,50.73,1.6728,BUY
2025-06-13,RELIANCE,Reliance Industries,Energy,2168.57,1161614,2185.03,2154.27,0.15,55.44,1.6721,BUY
2025-06-16,RELIANCE,Reliance Industries,Energy,2135.1,3857519,2188.02,2153.17,-1.54,47.18,1.7189,BUY
2025-06-17,RELIANCE,Reliance Industries,Energy,2151.34,1166997,2187.95,2152.71,0.76,46.01,1.5081,BUY
2025-06-18,RELIANCE,Reliance Industries,Energy,2122.75,2226351,2186.7,2152.18,-1.33,39.39,1.5369,BUY
2025-06-19,RELIANCE,Reliance Industries,Energy,2173.16,1572647,2187.43,2152.96,2.37,48.93,1.6263,BUY
2025-06-20,RELIANCE,Reliance Industries,Energy,2148.71,2131107,2186.94,2152.65,-1.13,40.31,1.6474,BUY
2025-06-23,RELIANCE,Reliance Industries,Energy,2139.4,1528455,2187.82,2151.92,-0.43,44.17,1.6028,BUY
2025-06-24,RELIANCE,Reliance Industries,Energy,2166.58,1805794,2188.19,2152.05,1.27,45.16,1.5789,BUY
2025-06-25,RELIANCE,Reliance Industries,Energy,2127.66,2450367,2185.34,2151.05,-1.8,28.76,1.6049,BUY
2025-06-26,RELIANCE,Reliance Industries,Energy,2135.98,2410705,2181.56,2150.13,0.39,33.43,1.578,BUY
2025-06-27,RELIANCE,Reliance Industries,Energy,2178.93,2101596,2181.38,2149.42,2.01,43.21,1.6249,BUY
2025-06-30,RELIANCE,Reliance Industries,Energy,2127.48,4291481,2176.28,2148.12,-2.36,37.03,1.6242,BUY
2025-07-01,RELIANCE,Reliance Industries,Energy,2134.44,4650276,2173.81,2147.15,0.33,39.64,1.5695,BUY
2025-07-02,RELIANCE,Reliance Industries,Energy,2143.83,2882357,2170.79,2146.61,0.44,46.95,1.5563,BUY
2025-07-03,RELIANCE,Reliance Industries,Energy,2170.04,3987124,2165.41,2147.52,1.22,50.2,1.3686,BUY
2025-07-04,RELIANCE,Reliance Industries,Energy,2130.86,2745131,2159.71,2147.43,-1.81,49.44,1.3881,BUY
2025-07-07,RELIANCE,Reliance Industries,Energy,2089.72,4746049,2152.85,2146.34,-1.93,42.38,1.4338,BUY
2025-07-08,RELIANCE,Reliance Industries,Energy,2107.13,591865,2146.63,2145.57,0.83,48.01,1.4524,BUY
2025-07-09,RELIANCE,Reliance Industries,Energy,2117.57,4544588,2141.73,2145.14,0.5,42.13,1.4586,SELL
2025-07-10,RELIANCE,Reliance Industries,Energy,2126.59,1572200,2139.79,2145.78,0.43,46.73,1.3806,SELL
2025-07-11,RELIANCE,Reliance Industries,Energy,2138.7,2620473,2138.3,2146.9,0.57,49.9,1.3875,SELL
2025-07-14,RELIANCE,Reliance Industries,Energy,2117.95,3000856,2137.44,2147.8,-0.97,42.73,1.3611,SELL
2025-07-15,RELIANCE,Reliance Industries,Energy,2126.39,3406158,2136.19,2149.34,0.4,49.79,1.3525,SELL
2025-07-16,RELIANCE,Reliance Industries,Energy,2136.8,4568472,2136.9,2151.18,0.49,50.13,1.3227,SELL
2025-07-17,RELIANCE,Reliance Industries,Energy,2114.97,1722869,2133.99,2152.3,-1.02,38.77,1.2219,SELL
2025-07-18,RELIANCE,Reliance Industries,Energy,2175.22,2783869,2135.31,2153.45,2.85,58.13,1.3658,SELL
2025-07-21,RELIANCE,Reliance Industries,Energy,2191.77,3625354,2137.93,2154.8,0.76,59.46,1.3688,SELL
2025-07-22,RELIANCE,Reliance Industries,Energy,2153.7,4582494,2137.29,2155.2,-1.74,51.49,1.4019,SELL
2025-07-23,RELIANCE,Reliance Industries,Energy,2175.99,1929551,2139.7,2156.07,1.03,50.91,1.3549,SELL
2025-07-24,RELIANCE,Reliance Industries,Energy,2145.26,2781020,2140.17,2157.54,-1.41,52.25,1.3953,SELL
2025-07-25,RELIANCE,Reliance Industries,Energy,2171.66,3256944,2139.8,2159.52,1.23,63.45,1.3471,SELL
2025-07-28,RELIANCE,Reliance Industries,Energy,2210.49,2787623,2143.95,2162.23,1.79,65.85,1.2839,SELL
2025-07-29,RELIANCE,Reliance Industries,Energy,2184.38,1414032,2146.45,2162.86,-1.18,59.77,1.3197,SELL
2025-07-30,RELIANCE,Reliance Industries,Energy,2217.04,4482588,2150.11,2164.25,1.5,62.38,1.3539,SELL
2025-07-31,RELIANCE,Reliance Industries,Energy,2231.88,2067438,2153.2,2165.71,0.67,62.65,1.3371,SELL
2025-08-01,RELIANCE,Reliance Industries,Energy,2260.52,1417559,2159.69,2167.75,1.28,68.96,1.2759,SELL
2025-08-04,RELIANCE,Reliance Industries,Energy,2325.97,1135605,2171.5,2171.84,2.9,73.04,1.2878,SELL
2025-08-05,RELIANCE,Reliance Industries,Energy,2318.57,1315131,2182.07,2175.03,-0.32,71.13,1.3001,BUY
2025-08-06,RELIANCE,Reliance Industries,Energy,2293.52,567661,2190.87,2177.2,-1.08,70.6,1.3465,BUY
2025-08-07,RELIANCE,Reliance Industries,Energy,2264.06,2578007,2197.74,2178.25,-1.28,61.04,1.3984,BUY
2025-08-08,RELIANCE,Reliance Industries,Energy,2237.49,1807506,2202.68,2179.35,-1.17,55.54,1.4359,BUY
2025-08-11,RELIANCE,Reliance Industries,Energy,2236.02,2471206,2208.58,2179.48,-0.07,60.95,1.4099,BUY
2025-08-12,RELIANCE,Reliance Industries,Energy,2248.58,3401614,2214.69,2180.78,0.56,59.91,1.4111,BUY
2025-08-13,RELIANCE,Reliance Industries,Energy,2259.04,3466422,2220.81,2181.88,0.47,66.45,1.4109,BUY
2025-08-14,RELIANCE,Reliance Industries,Energy,2288.2,4208654,2229.47,2182.09,1.29,66.71,1.3926,BUY
2025-08-15,RELIANCE,Reliance Industries,Energy,2289.79,618033,2235.2,2182.98,0.07,62.73,1.2689,BUY
2025-08-18,RELIANCE,Reliance Industries,Energy,2340.86,1130265,2242.65,2185.26,2.23,73.26,1.3397,BUY
2025-08-19,RELIANCE,Reliance Industries,Energy,2332.74,3210309,2251.6,2187.29,-0.35,68.55,1.2598,BUY
2025-08-20,RELIANCE,Reliance Industries,Energy,2429.09,3418258,2264.26,2191.55,4.13,75.07,1.5069,BUY
2025-08-21,RELIANCE,Reliance Industries,Energy,2453.1,1715502,2279.65,2197.31,0.99,74.77,1.4353,BUY
2025-08-22,RELIANCE,Reliance Industries,Energy,2422.79,1921796,2292.21,2202.4,-1.24,63.69,1.491,BUY
2025-08-25,RELIANCE,Reliance Industries,Energy,2385.08,3262779,2300.94,2207.4,-1.56,58.66,1.533,BUY
2025-08-26,RELIANCE,Reliance Industries,Energy,2403.53,2819049,2311.89,2212.44,0.77,64.58,1.4892,BUY
2025-08-27,RELIANCE,Reliance Industries,Energy,2396.68,4220464,2320.88,2217.92,-0.28,68.7,1.4788,BUY
2025-08-28,RELIANCE,Reliance Industries,Energy,2423.55,2692614,2330.46,2222.93,1.12,76.21,1.4865,BUY
2025-08-29,RELIANCE,Reliance Industries,Energy,2441.97,1270173,2339.53,2228.79,0.76,77.69,1.4752,BUY
2025-09-01,RELIANCE,Reliance Industries,Energy,2440.52,3169355,2345.26,2234.81,-0.06,76.6,1.3544,BUY
2025-09-02,RELIANCE,Reliance Industries,Energy,2410.74,3912504,2349.87,2239.7,-1.22,69.95,1.3888,BUY
2025-09-03,RELIANCE,Reliance Industries,Energy,2357.17,967010,2353.05,2244.29,-2.22,58.52,1.4656,BUY
2025-09-04,RELIANCE,Reliance Industries,Energy,2342.56,2155016,2356.98,2248.42,-0.62,56.32,1.439,BUY
2025-09-05,RELIANCE,Reliance Industries,Energy,2373.82,2197900,2363.79,2252.32,1.33,54.14,1.424,BUY
2025-09-08,RELIANCE,Reliance Industries,Energy,2382.63,4721038,2371.12,2257.42,0.37,56.26,1.4213,BUY
2025-09-09,RELIANCE,Reliance Industries,Energy,2339.3,1423875,2375.66,2261.52,-1.82,37.0,1.4983,BUY
2025-09-10,RELIANCE,Reliance Industries,Energy,2346.55,2623221,2380.03,2265.57,0.31,33.79,1.4973,BUY
2025-09-11,RELIANCE,Reliance Industries,Energy,2361.29,4380993,2383.69,2269.4,0.63,40.18,1.4792,BUY
2025-09-12,RELIANCE,Reliance Industries,Energy,2331.16,3068103,2385.76,2273.4,-1.28,41.18,1.5142,BUY
2025-09-15,RELIANCE,Reliance Industries,Energy,2337.7,581264,2385.6,2278.36,0.28,38.79,1.4303,BUY
2025-09-16,RELIANCE,Reliance Industries,Energy,2340.91,523275,2386.01,2283.04,0.14,40.38,1.4281,BUY
2025-09-17,RELIANCE,Reliance Industries,Energy,2301.95,3193714,2379.65,2286.72,-1.66,29.87,1.1021,BUY
2025-09-18,RELIANCE,Reliance Industries,Energy,2315.46,2960072,2372.77,2290.5,0.59,28.71,1.0816,BUY
2025-09-19,RELIANCE,Reliance Industries,Energy,2336.09,1072735,2368.43,2294.45,0.89,33.49,1.0873,BUY
2025-09-22,RELIANCE,Reliance Industries,Energy,2375.21,2500609,2367.94,2299.6,1.67,44.55,1.1106,BUY
2025-09-23,RELIANCE,Reliance Industries,Energy,2413.94,1412826,2368.46,2305.35,1.63,59.13,1.1582,BUY
2025-09-24,RELIANCE,Reliance Industries,Energy,2365.26,3197143,2366.89,2309.92,-2.02,53.29,1.2447,BUY
2025-09-25,RELIANCE,Reliance Industries,Energy,2333.17,1362522,2362.37,2314.28,-1.36,44.12,1.2446,BUY
2025-09-26,RELIANCE,Reliance Industries,Energy,2352.36,1303692,2357.89,2317.82,0.82,45.75,1.2471,BUY
2025-09-29,RELIANCE,Reliance Industries,Energy,2371.67,1661157,2354.45,2321.42,0.82,54.87,1.2669,BUY
2025-09-30,RELIANCE,Reliance Industries,Energy,2391.18,1814532,2353.47,2326.17,0.82,56.48,1.2571,BUY
2025-10-01,RELIANCE,Reliance Industries,Energy,2530.56,921240,2362.14,2333.26,5.83,68.05,1.7228,BUY
2025-10-02,RELIANCE,Reliance Industries,Energy,2553.5,4359744,2372.69,2341.43,0.91,74.07,1.7105,BUY
2025-10-03,RELIANCE,Reliance Industries,Energy,2598.27,1444789,2383.91,2349.96,1.75,76.06,1.7245,BUY
2025-10-06,RELIANCE,Reliance Industries,Energy,2636.75,3607092,2396.61,2358.48,1.48,77.63,1.739,BUY
2025-10-07,RELIANCE,Reliance Industries,Energy,2663.83,2713573,2412.84,2368.07,1.03,84.57,1.6517,BUY
2025-10-08,RELIANCE,Reliance Industries,Energy,2652.56,1025893,2428.14,2376.78,-0.42,82.34,1.6679,BUY
2025-10-09,RELIANCE,Reliance Industries,Energy,2684.08,2755363,2444.28,2385.83,1.19,82.7,1.6726,BUY
2025-10-10,RELIANCE,Reliance Industries,Energy,2654.31,4881514,2460.44,2393.7,-1.11,76.7,1.6627,BUY
2025-10-13,RELIANCE,Reliance Industries,Energy,2646.21,4648887,2475.86,2400.11,-0.31,73.6,1.675,BUY
2025-10-14,RELIANCE,Reliance Industries,Energy,2628.27,1707094,2490.23,2406.3,-0.68,78.5,1.6976,BUY
2025-10-15,RELIANCE,Reliance Industries,Energy,2632.81,2721192,2506.77,2413.09,0.17,84.54,1.6172,BUY
